Date,1211.SR,2010.SR,7010.SR,ETEL.CA,IGIC,KFH.KW,NBK.KW,QAT,SWDY.CA,UAE
2019-04-09,18.466665267944336,127.19999694824219,44.08000183105469,14.649999618530273,10.069999694824219,383.51300048828125,678.3090209960938,18.530000686645508,16.1200008392334,14.843000411987305
2019-04-10,18.366666793823242,125.4000015258789,44.2400016784668,14.880000114440918,10.069999694824219,385.8340148925781,685.0250244140625,18.639999389648438,16.34000015258789,14.975000381469727
2019-04-11,18.266666412353516,124.19999694824219,44.2400016784668,14.770000457763672,10.079999923706055,382.35198974609375,684.2789916992188,18.700000762939453,16.399999618530273,14.843000411987305
2019-04-12,18.266666412353516,124.19999694824219,44.2400016784668,14.770000457763672,10.069999694824219,382.35198974609375,684.2789916992188,18.770000457763672,16.399999618530273,14.9399995803833
2019-04-14,18.266666412353516,123.5999984741211,44.15999984741211,14.729999542236328,10.069999694824219,380.0320129394531,686.5180053710938,18.770000457763672,16.34000015258789,14.9399995803833
2019-04-15,18.600000381469727,125.0,43.91999816894531,14.600000381469727,10.069999694824219,381.7720031738281,684.2789916992188,18.770000457763672,16.239999771118164,15.225000381469727
2019-04-16,19.299999237060547,124.80000305175781,44.15999984741211,14.359999656677246,10.050000190734863,384.0929870605469,698.4569702148438,18.729999542236328,16.15999984741211,15.17300033569336
2019-04-17,19.466665267944336,126.4000015258789,44.400001525878906,14.25,10.050000190734863,390.4750061035156,693.2340087890625,18.780000686645508,15.649999618530273,15.329999923706055
2019-04-18,19.266666412353516,125.0,44.79999923706055,14.430000305175781,10.069999694824219,398.5979919433594,701.4420166015625,18.948999404907227,15.920000076293945,15.489999771118164
2019-04-21,19.133333206176758,125.19999694824219,45.7599983215332,14.239999771118164,10.069999694824219,402.65899658203125,697.7109985351562,18.948999404907227,15.539999961853027,15.489999771118164
2019-04-22,18.66666603088379,124.19999694824219,45.7599983215332,14.170000076293945,10.079999923706055,395.11700439453125,690.2490234375,19.07200050354004,15.680000305175781,15.710000038146973
2019-04-23,18.399999618530273,124.0,46.08000183105469,14.050000190734863,10.079999923706055,393.95599365234375,686.5180053710938,19.079999923706055,15.3100004196167,15.6899995803833
